0.00	0.00630
0.02	0.00364
0.04	0.00099
0.06	0.00428
0.08	0.00758
0.10	0.01087
0.12	0.00682
0.14	0.00277
0.16	-0.00128
0.18	0.00368
0.20	0.00864
0.22	0.01360
0.24	0.00727
0.26	0.00094
0.28	0.00420
0.30	0.00221
0.32	0.00021
0.34	0.00444
0.36	0.00867
0.38	0.01290
0.40	0.01713
0.42	-0.00343
0.44	-0.02400
0.46	-0.00992
0.48	0.00416
0.50	0.00528
0.52	0.01653
0.54	0.02779
0.56	0.03904
0.58	0.02449
0.60	0.00995
0.62	0.00961
0.64	0.00926
0.66	0.00892
0.68	-0.00486
0.70	-0.01864
0.72	-0.03242
0.74	-0.03365
0.76	-0.05723
0.78	-0.04534
0.80	-0.03346
0.82	-0.03201
0.84	-0.03056
0.86	-0.02911
0.88	-0.02766
0.90	-0.04116
0.92	-0.05466
0.94	-0.06816
0.96	-0.08166
0.98	-0.06846
1.00	-0.05527
1.02	-0.04208
1.04	-0.04259
1.06	-0.04311
1.08	-0.02428
1.10	-0.00545
1.12	0.01338
1.14	0.03221
1.16	0.05104
1.18	0.06987
1.20	0.08870
1.22	0.04524
1.24	0.00179
1.26	-0.04167
1.28	-0.08513
1.30	-0.12858
1.32	-0.17204
1.34	-0.12908
1.36	-0.08613
1.38	-0.08902
1.40	-0.09192
1.42	-0.09482
1.44	-0.09324
1.46	-0.09166
1.48	-0.09478
1.50	-0.09789
1.52	-0.12902
1.54	-0.07652
1.56	-0.02401
1.58	0.02849
1.60	0.08099
1.62	0.13350
1.64	0.18600
1.66	0.23850
1.68	0.21993
1.70	0.20135
1.72	0.18277
1.74	0.16420
1.76	0.14562
1.78	0.16143
1.80	0.17725
1.82	0.13215
1.84	0.08705
1.86	0.04196
1.88	-0.00314
1.90	-0.04824
1.92	-0.09334
1.94	-0.13843
1.96	-0.18353
1.98	-0.22863
2.00	-0.27372
2.02	-0.31882
2.04	-0.25024
2.06	-0.18166
2.08	-0.11309
2.10	-0.04451
2.12	0.02407
2.14	0.09265
2.16	0.16123
2.18	0.22981
2.20	0.29839
2.22	0.23197
2.24	0.16554
2.26	0.09912
2.28	0.03270
2.30	-0.03372
2.32	-0.10014
2.34	-0.16656
2.36	-0.23299
2.38	-0.29941
2.40	-0.00421
2.42	0.29099
2.44	0.22380
2.46	0.15662
2.48	0.08943
2.50	0.02224
2.52	-0.04495
2.54	0.01834
2.56	0.08163
2.58	0.14491
2.60	0.20820
2.62	0.18973
2.64	0.17125
2.66	0.13759
2.68	0.10393
2.70	0.07027
2.72	0.03661
2.74	0.00295
2.76	-0.03071
2.78	-0.00561
2.80	0.01948
2.82	0.04458
2.84	0.06468
2.86	0.08478
2.88	0.10487
2.90	0.05895
2.92	0.01303
2.94	-0.03289
2.96	-0.07882
2.98	-0.03556
3.00	0.00771
3.02	0.05097
3.04	0.01013
3.06	-0.03071
3.08	-0.07156
3.10	-0.11240
3.12	-0.15324
3.14	-0.11314
3.16	-0.07304
3.18	-0.03294
3.20	0.00715
3.22	-0.06350
3.24	-0.13415
3.26	-0.20480
3.28	-0.12482
3.30	-0.04485
3.32	0.03513
3.34	0.11510
3.36	0.19508
3.38	0.12301
3.40	0.05094
3.42	-0.02113
3.44	-0.09320
3.46	-0.02663
3.48	0.03995
3.50	0.10653
3.52	0.17311
3.54	0.11283
3.56	0.05255
3.58	-0.00772
3.60	0.01064
3.62	0.02900
3.64	0.04737
3.66	0.06573
3.68	0.02021
3.70	-0.02530
3.72	-0.07081
3.74	-0.04107
3.76	-0.01133
3.78	0.00288
3.80	0.01709
3.82	0.03131
3.84	-0.02278
3.86	-0.07686
3.88	-0.13095
3.90	-0.18504
3.92	-0.14347
3.94	-0.10190
3.96	-0.06034
3.98	-0.01877
4.00	0.02280
4.02	-0.00996
4.04	-0.04272
4.06	-0.02147
4.08	-0.00021
4.10	0.02104
4.12	-0.01459
4.14	-0.05022
4.16	-0.08585
4.18	-0.12148
4.20	-0.15711
4.22	-0.19274
4.24	-0.22837
4.26	-0.18145
4.28	-0.13453
4.30	-0.08761
4.32	-0.04069
4.34	0.00623
4.36	0.05316
4.38	0.10008
